2024-06-25 21:06:134 INFO  LoginPage :41 - Enter User Name: Admin
2024-06-25 21:06:819 INFO  LoginPage :51 - Enter Password: admin123
2024-06-25 21:06:175 INFO  LoginPage :46 - Clicking on Login Button: [[ChromeDriver: chrome on windows (7dd175b0208aeec1753d5f4d53497d03)] -> xpath: //button[@type='submit']]
2024-06-25 21:06:730 INFO  DashboardPage :35 - Verifying Dashboard Page: [[ChromeDriver: chrome on windows (7dd175b0208aeec1753d5f4d53497d03)] -> xpath: //div[@class='oxd-topbar-header']/div[1]/span[1]/h6[1]]
2024-06-25 21:06:232 INFO  LoginPage :41 - Enter User Name: Admin
2024-06-25 21:06:831 INFO  LoginPage :51 - Enter Password: admin123
2024-06-25 21:06:154 INFO  LoginPage :46 - Clicking on Login Button: [[ChromeDriver: chrome on windows (86e4bb90378a6aa452857599a8a38788)] -> xpath: //button[@type='submit']]
2024-06-25 21:06:01 INFO  HomePage :37 - Clicking on Admin link : [[ChromeDriver: chrome on windows (86e4bb90378a6aa452857599a8a38788)] -> xpath: //li[1]//a[1]//span[1]]
2024-06-25 21:06:292 INFO  ViewSystemUsersPage :112 - Verifying System User Text: [[ChromeDriver: chrome on windows (86e4bb90378a6aa452857599a8a38788)] -> xpath: //h5[@class='oxd-text oxd-text--h5 oxd-table-filter-title']]
2024-06-25 21:06:402 INFO  ViewSystemUsersPage :117 - Clicking on Add button: [[ChromeDriver: chrome on windows (86e4bb90378a6aa452857599a8a38788)] -> xpath: //button[@class='oxd-button oxd-button--medium oxd-button--secondary']]
2024-06-25 21:06:519 INFO  ViewSystemUsersPage :122 - Verifying User added text: Add User
2024-06-25 21:06:556 INFO  AddUserPage :23 - Clicking on UserRole drop-down : [[ChromeDriver: chrome on windows (86e4bb90378a6aa452857599a8a38788)] -> xpath: (//div[@class = 'oxd-select-wrapper'])[1]]
2024-06-25 21:06:788 INFO  AddUserPage :28 - Clicking on Admin option in UserRole drop-down : [[ChromeDriver: chrome on windows (86e4bb90378a6aa452857599a8a38788)] -> xpath: //span[contains(text(),'Admin')]]
2024-06-25 21:06:942 INFO  ViewSystemUsersPage :128 - Entering Employee name: Proxy element for: DefaultElementLocator 'By.xpath: //*[@class='oxd-autocomplete-wrapper']//*[contains(text(),'sấd ádas ádsa')]'
2024-06-25 22:06:447 INFO  LoginPage :41 - Enter User Name: Admin
2024-06-25 22:06:910 INFO  LoginPage :51 - Enter Password: admin123
2024-06-25 22:06:154 INFO  LoginPage :46 - Clicking on Login Button: [[ChromeDriver: chrome on windows (1c88197cd00f7fde80a1a542d2ad2892)] -> xpath: //button[@type='submit']]
2024-06-25 22:06:549 INFO  DashboardPage :35 - Verifying Dashboard Page: [[ChromeDriver: chrome on windows (1c88197cd00f7fde80a1a542d2ad2892)] -> xpath: //div[@class='oxd-topbar-header']/div[1]/span[1]/h6[1]]
2024-06-25 22:06:51 INFO  LoginPage :41 - Enter User Name: Admin
